text,true_label,pred_classical,prob_classical,pred_bert,prob_bert,conf_classical,conf_bert,correct_classical,correct_bert,word_count
pa moracchini la boucle c est ca gt bonne pr pa parce que mec intelligent gt gros cv gt taff d bile ultra bien pay gt d pression parce que gar trop conscient gt se venge de tout ca en tant z l jouissances toxiques gt coinc en enfer,1,0,0.4855756798844622,1,0.999788463115692,0.5144243201155378,0.999788463115692,False,True,49
i know my life ha been flipped upside down when i just thought in my head that some ramen sound good,0,1,0.6336201131973246,0,0.0011918338714167,0.6336201131973246,0.9988081661285833,False,True,21
horror wench me toooooo i feel like i ve been on the verge of an anxiety attack all day,0,1,0.7594366281083358,0,0.0026124787982553,0.7594366281083358,0.9973875212017447,False,True,19
stupid year project feel like you ve conquered something then you realised it s only year down,0,1,0.5803701805575595,0,0.001003464218229,0.5803701805575595,0.998996535781771,False,True,17
aaroncikaya fcuk off playing the depression card he can t handle the english premier league and the micky mouse french league will suit his lazy style of play fcuk off to psg you premier leage flop you re a lazy sack of shite,1,0,0.4008593992238687,1,0.9998884201049804,0.5991406007761313,0.9998884201049804,False,True,43
happy international day against depression yeah today is my birthday too lol,1,0,0.465175139592999,1,0.9998511075973512,0.534824860407001,0.9998511075973512,False,True,12
i m so tired of the pain hating myself and having no future i cant do this anymore,1,0,0.4291876426091882,1,0.998841106891632,0.5708123573908118,0.998841106891632,False,True,18
i don t know if something like this ha happened to any of you but if i try to sleep on my bed i wake up in the middle of the night or can get any rest i can only get to sleep on the couch i m worried about this because i don t want to sleep on my bed any tip,1,0,0.3203671859096516,1,0.999841570854187,0.6796328140903485,0.999841570854187,False,True,63
i am not i don t believe or respect myself enough to do it i am extremely pathetic lazy and bad person that s the truth a simple fact and this will probably never change because thats how i am,1,0,0.4194040364529491,1,0.99983549118042,0.5805959635470509,0.99983549118042,False,True,40
these day i don t feel like twittering don t know why,0,1,0.9027800186819478,0,0.0012543508782982,0.9027800186819478,0.9987456491217018,False,True,12
i just wish i didn t have people and pet that wouldn t be bothered without me i have all the general visible asset of my gender identity but i still know i ll never be a girl,1,0,0.2887464069688709,1,0.999067485332489,0.7112535930311291,0.999067485332489,False,True,38
djalizay i really don t think people choose to be that way but i think he chose not to accept my family s help he might be dead by now,0,1,0.7217279452829042,0,0.0019480796763673,0.7217279452829042,0.9980519203236327,False,True,30
those are longest symptom along with nausea fatigue dizziness overwhelming feeling,1,0,0.3123347202933471,1,0.999492645263672,0.6876652797066529,0.999492645263672,False,True,11
simple holding gun to head purposely overdosing and ending up in the hospital more complex standing in the kitchen holding a knife searching the house for anti nausea pill to keep down the rest of the pill writing contact info on a sticky note to keep on your person so the cop can identify the body when doe one cross that line what defines a crisis,1,0,0.4530748019773821,1,0.999886989593506,0.546925198022618,0.999886989593506,False,True,66
mrskutcher i wa just thinking that today how deprssing it all is make u appreciate life more,0,1,0.5851384786040231,0,0.0006529639940708,0.5851384786040231,0.9993470360059292,False,True,17
it could be something you saw you heard you did anything go it may not be good enough for you but i still wan na hear it so please please share,1,0,0.4316614352012745,1,0.9990007281303406,0.5683385647987256,0.9990007281303406,False,True,31
